Serving HTTP on 0.0.0.0 port 80 ...
Traceback (most recent call last):
  File "/usr/lib/python2.7/runpy.py", line 174, in _run_module_as_main
    "__main__", fname, loader, pkg_name)
  File "/usr/lib/python2.7/runpy.py", line 72, in _run_code
    exec code in run_globals
  File "/usr/lib/python2.7/SimpleHTTPServer.py", line 235, in <module>
    test()
  File "/usr/lib/python2.7/SimpleHTTPServer.py", line 231, in test
    BaseHTTPServer.test(HandlerClass, ServerClass)
  File "/usr/lib/python2.7/BaseHTTPServer.py", line 610, in test
    httpd.serve_forever()
  File "/usr/lib/python2.7/SocketServer.py", line 231, in serve_forever
    poll_interval)
  File "/usr/lib/python2.7/SocketServer.py", line 150, in _eintr_retry
    return func(*args)
KeyboardInterrupt
76.252.188.94 - - [03/Nov/2017 07:50:31] "GET /images/wp3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:31] "GET /images/p2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:31] "GET /images/p1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:31] "GET /images/p3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:31] "GET /images/p4.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:31] "GET /images/p5.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:31] "GET /images/p6.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:31] "GET /images/black_bg.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:46] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:47] "GET /images/banner1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:47] "GET /images/banner2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:47] "GET /images/p1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:47] "GET /images/p2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:47] "GET /images/p3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:47] "GET /images/p5.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:47] "GET /images/p4.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:47] "GET /images/p6.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:58] "GET /images/mino.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:50:59] "GET /404.html HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:53:49] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:53:49] "GET /images/banner1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:53:49] "GET /images/banner2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:53:49] "GET /images/p1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:53:49] "GET /images/p2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:53:49] "GET /images/p5.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:53:49] "GET /images/p4.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:53:49] "GET /images/p3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:53:49] "GET /images/p6.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:53:49] "GET /images/banner2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:53:49] "GET /images/banner1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:53:49] "GET /images/p1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:53:49] "GET /images/p2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:53:49] "GET /images/p5.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:53:49] "GET /images/p3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:53:49] "GET /images/p6.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:53:49] "GET /images/p4.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:49] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:49] "GET /css/bootstrap.min.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:49] "GET /images/banner1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:49] "GET /images/banner2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:49] "GET /images/p2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:49] "GET /images/p1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:49] "GET /images/p3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:49] "GET /images/p4.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:49] "GET /images/p5.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:49] "GET /images/p6.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:49] "GET /images/facebook.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:49] "GET /images/twitter.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:49] "GET /images/instagram.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:49] "GET /style.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:49] "GET /css/bootstrap.min.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:49] "GET /images/banner1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:49] "GET /images/wp2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:50] "GET /images/banner2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:50] "GET /images/wp1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:50] "GET /images/p2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:50] "GET /images/p1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:50] "GET /images/p3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:50] "GET /images/wp3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:50] "GET /images/p4.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:50] "GET /images/p5.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:50] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:50] "GET /images/facebook.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:50] "GET /images/p6.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:50] "GET /images/instagram.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:50] "GET /images/twitter.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:57:50] "GET /images/black_bg.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:58:46] "GET /style.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:12] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:12] "GET /style.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:12] "GET /css/bootstrap.min.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:13] "GET /images/banner1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:13] "GET /images/wp1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:13] "GET /images/wp2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:13] "GET /images/banner2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:13] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:13] "GET /images/wp3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:13] "GET /images/p1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:13] "GET /images/p3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:13] "GET /images/p2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:13] "GET /images/p5.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:13] "GET /images/p4.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:13] "GET /images/facebook.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:13] "GET /images/p6.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:13] "GET /images/twitter.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:13] "GET /images/instagram.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:13] "GET /images/black_bg.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:21] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:21] "GET /style.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:21] "GET /css/bootstrap.min.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:21] "GET /images/banner1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:21] "GET /images/banner2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:21] "GET /images/wp1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:21] "GET /images/wp2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:21] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:21] "GET /images/wp3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:21] "GET /images/p1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:21] "GET /images/p2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:22] "GET /images/p3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:22] "GET /images/p6.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:22] "GET /images/p4.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:22] "GET /images/p5.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:22] "GET /images/facebook.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:22] "GET /images/twitter.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:22] "GET /images/instagram.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 07:59:22] "GET /images/black_bg.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:03:44] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:03:45] "GET /style.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:03:45] "GET /css/bootstrap.min.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:03:45] "GET /images/p1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:03:45] "GET /images/p2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:03:45] "GET /images/banner2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:03:45] "GET /images/banner1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:03:45] "GET /images/instagram.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:03:45] "GET /images/p6.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:03:45] "GET /images/p5.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:03:45] "GET /images/facebook.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:03:45] "GET /images/p4.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:03:45] "GET /images/twitter.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:03:45] "GET /images/p3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:04:35] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:04:35] "GET /style.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:04:49] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:06:09] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:06:09] "GET /style.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:06:09] "GET /images/p1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:06:09] "GET /images/p3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:06:09] "GET /images/p2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:06:09] "GET /images/p5.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:06:09] "GET /images/p4.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:06:09] "GET /images/p6.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:07:13] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:07:14] "GET /style.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:07:14] "GET /images/banner1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:07:14] "GET /images/banner2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:07:30] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:07:31] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:07:44] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:08:04] "GET /404.html HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:08:04] "GET /images/mino.jpeg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:08:04] "GET /images/mino.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:11:38] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:11:38] "GET /style.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:11:38] "GET /css/bootstrap.min.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:11:39] "GET /images/wp3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:11:39] "GET /images/banner2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:11:39] "GET /images/banner1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:11:39] "GET /images/wp2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:11:39] "GET /images/wp1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:11:39] "GET /images/p3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:11:39] "GET /images/p1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:11:39] "GET /images/p4.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:11:39] "GET /images/p5.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:11:39] "GET /images/p2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:11:39] "GET /images/p6.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:11:39] "GET /images/facebook.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:11:39] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:11:39] "GET /images/twitter.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:11:39] "GET /images/instagram.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:11:39] "GET /images/black_bg.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:06] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:06] "GET /style.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:06] "GET /css/bootstrap.min.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:06] "GET /images/banner1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:06] "GET /images/wp1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:06] "GET /images/banner2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:06] "GET /images/wp3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:06] "GET /images/p1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:06] "GET /images/wp2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:06] "GET /images/p2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:06] "GET /images/p3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:06] "GET /images/p4.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:06] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:06] "GET /images/facebook.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:06] "GET /images/instagram.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:06] "GET /images/p5.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:06] "GET /images/p6.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:06] "GET /images/twitter.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:06] "GET /images/black_bg.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:16] "GET /index.xhtml HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:16] "GET /css/bootstrap.min.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:16] "GET /style.css HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:17] "GET /images/banner1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:17] "GET /images/banner2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:17] "GET /images/wp2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:17] "GET /images/wp1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:17] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:17] "GET /images/wp3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:17] "GET /images/p1.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:17] "GET /images/p2.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:17] "GET /images/p4.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:17] "GET /images/p3.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:17] "GET /images/p5.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:17] "GET /images/p6.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:17] "GET /images/facebook.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:17] "GET /images/twitter.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:17] "GET /images/instagram.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:17] "GET /images/black_bg.jpg HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:40] "GET /images/mino.png HTTP/1.1" 200 -
76.252.188.94 - - [03/Nov/2017 08:26:46] "GET /404.html HTTP/1.1" 200 -
